"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"OLYMPIACOS PIRAEUS",20,25,19,24,75,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,21,9,30,75,"E2023"
"REAL MADRID",30,23,27,11,76,"E2023"
"AS MONACO",20,19,11,23,76,"E2023"
"FC BARCELONA",25,12,17,20,77,"E2023"
"VALENCIA BASKET",16,17,19,18,77,"E2023"
"LDLC ASVEL VILLEURBANNE",30,19,16,16,78,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,22,31,15,78,"E2023"
"PANATHINAIKOS ATHENS",21,24,17,28,79,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",15,27,21,13,79,"E2023"
"PARTIZAN MOZZART BET BELGRADE",18,25,22,24,80,"E2023"
"ALBA BERLIN",20,20,15,19,80,"E2023"
"ZALGIRIS KAUNAS",25,16,21,12,81,"E2023"
"FC BAYERN MUNICH",18,25,18,12,81,"E2023"
"LDLC ASVEL VILLEURBANNE",18,22,20,14,14,12,82,"E2023"
"FC BAYERN MUNICH",22,15,14,23,14,13,82,"E2023"
"MACCABI PLAYTIKA TEL AVIV",31,20,17,22,83,"E2023"
"FC BARCELONA",26,25,19,22,83,"E2023"
"PANATHINAIKOS AKTOR ATHENS",27,22,23,18,84,"E2023"
"VALENCIA BASKET",18,17,18,20,84,"E2023"
"REAL MADRID",27,17,23,32,85,"E2023"
"ALBA BERLIN",17,16,18,24,85,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",25,21,24,17,86,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,17,14,21,86,"E2023"
"ANADOLU EFES ISTANBUL",22,28,14,36,87,"E2023"
"PARTIZAN MOZZART BET BELGRADE",22,23,29,20,87,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",19,20,17,15,88,"E2023"
"EA7 EMPORIO ARMANI MILAN",20,18,25,30,88,"E2023"
"OLYMPIACOS PIRAEUS",19,24,26,20,89,"E2023"
"ZALGIRIS KAUNAS",19,12,21,20,89,"E2023"
"BASKONIA VITORIA-GASTEIZ",19,17,23,16,90,"E2023"
"AS MONACO",16,19,27,15,90,"E2023"
"AS MONACO",22,16,20,27,91,"E2023"
"OLYMPIACOS PIRAEUS",17,22,20,18,91,"E2023"
"FC BAYERN MUNICH",20,24,26,20,92,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",28,18,20,10,92,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,21,22,28,13,93,"E2023"
"REAL MADRID",29,15,23,20,12,93,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,29,23,21,94,"E2023"
"ALBA BERLIN",14,28,24,15,94,"E2023"
"PARTIZAN MOZZART BET BELGRADE",20,19,15,24,14,95,"E2023"
"PANATHINAIKOS AKTOR ATHENS",21,17,18,22,9,95,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,12,21,18,96,"E2023"
"ZALGIRIS KAUNAS",18,23,18,24,96,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",22,21,29,25,97,"E2023"
"ANADOLU EFES ISTANBUL",21,28,21,13,97,"E2023"
"FC BARCELONA",28,22,28,23,98,"E2023"
"LDLC ASVEL VILLEURBANNE",24,23,24,21,98,"E2023"
"VALENCIA BASKET",21,31,18,14,99,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,24,23,31,99,"E2023"
"ALBA BERLIN",13,12,14,25,100,"E2023"
"ZALGIRIS KAUNAS",20,8,17,17,100,"E2023"
"ANADOLU EFES ISTANBUL",23,14,13,21,101,"E2023"
"PANATHINAIKOS AKTOR ATHENS",15,16,21,16,101,"E2023"
"FC BAYERN MUNICH",22,22,11,21,15,102,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,14,13,24,8,102,"E2023"
"OLYMPIACOS PIRAEUS",19,17,21,14,103,"E2023"
"REAL MADRID",23,14,24,16,103,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,16,19,21,17,104,"E2023"
"AS MONACO",13,22,16,21,13,104,"E2023"
"LDLC ASVEL VILLEURBANNE",19,27,20,25,105,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,28,25,24,105,"E2023"
"BASKONIA VITORIA-GASTEIZ",10,28,19,23,106,"E2023"
"FENERBAHCE BEKO ISTANBUL",18,19,18,24,106,"E2023"
"VALENCIA BASKET",25,31,16,13,107,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",19,21,25,16,107,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",18,15,23,24,108,"E2023"
"FC BARCELONA",24,21,16,14,108,"E2023"
"ALBA BERLIN",15,25,25,24,109,"E2023"
"ANADOLU EFES ISTANBUL",22,15,27,33,109,"E2023"
"PANATHINAIKOS AKTOR ATHENS",23,22,10,23,110,"E2023"
"REAL MADRID",24,22,26,18,110,"E2023"
"PARTIZAN MOZZART BET BELGRADE",20,19,22,21,111,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,19,18,7,111,"E2023"
"OLYMPIACOS PIRAEUS",24,17,13,23,112,"E2023"
"FC BAYERN MUNICH",8,21,15,25,112,"E2023"
"FC BARCELONA",16,22,25,26,113,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,31,14,17,113,"E2023"
"LDLC ASVEL VILLEURBANNE",23,10,8,14,114,"E2023"
"VALENCIA BASKET",18,17,18,25,114,"E2023"
"BASKONIA VITORIA-GASTEIZ",26,26,15,20,115,"E2023"
