"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"FC BAYERN MUNICH",13,35,54,76,98,"E2020"
"LDLC ASVEL VILLEURBANNE",25,45,65,80,99,"E2020"
"FC BARCELONA",19,36,53,68,99,"E2020"
"CSKA MOSCOW",20,39,56,80,100,"E2020"
"OLYMPIACOS PIRAEUS",19,29,38,61,100,"E2020"
"ZENIT ST PETERSBURG",14,32,53,65,101,"E2020"
"FENERBAHCE BEKO ISTANBUL",23,45,53,73,101,"E2020"
"MACCABI PLAYTIKA TEL AVIV",23,41,56,81,102,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",20,38,55,76,102,"E2020"
"AX ARMANI EXCHANGE MILAN",22,42,60,77,103,"E2020"
"PANATHINAIKOS OPAP ATHENS",18,30,54,80,103,"E2020"
"VALENCIA BASKET",21,50,65,92,104,"E2020"
"ALBA BERLIN",27,51,83,100,104,"E2020"
"ANADOLU EFES ISTANBUL",20,37,50,59,105,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",17,42,63,77,105,"E2020"
"ZALGIRIS KAUNAS",14,33,48,62,106,"E2020"
"FC BARCELONA",17,39,55,73,106,"E2020"
"FC BAYERN MUNICH",15,43,64,80,107,"E2020"
"KHIMKI MOSCOW REGION",22,40,64,77,107,"E2020"
"REAL MADRID",19,40,61,91,108,"E2020"
"LDLC ASVEL VILLEURBANNE",26,50,70,84,108,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",30,45,61,79,109,"E2020"
"OLYMPIACOS PIRAEUS",16,37,62,81,109,"E2020"
"ALBA BERLIN",23,44,70,89,110,"E2020"
"FENERBAHCE BEKO ISTANBUL",16,27,41,63,110,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",20,33,54,63,111,"E2020"
"MACCABI PLAYTIKA TEL AVIV",12,37,56,67,111,"E2020"
"VALENCIA BASKET",19,40,54,76,112,"E2020"
"ANADOLU EFES ISTANBUL",23,38,60,74,112,"E2020"
"REAL MADRID",24,36,59,79,113,"E2020"
"ZENIT ST PETERSBURG",21,31,42,72,113,"E2020"
"KHIMKI MOSCOW REGION",22,43,69,87,114,"E2020"
"CSKA MOSCOW",25,52,77,96,114,"E2020"
"PANATHINAIKOS OPAP ATHENS",12,33,50,69,115,"E2020"
"ZALGIRIS KAUNAS",24,43,60,81,115,"E2020"
"FC BAYERN MUNICH",24,42,60,76,116,"E2020"
"LDLC ASVEL VILLEURBANNE",15,25,44,62,116,"E2020"
"FC BARCELONA",23,39,60,87,117,"E2020"
"AX ARMANI EXCHANGE MILAN",15,43,61,71,117,"E2020"
"CSKA MOSCOW",20,47,74,100,118,"E2020"
"ANADOLU EFES ISTANBUL",13,34,49,65,118,"E2020"
"FENERBAHCE BEKO ISTANBUL",25,35,48,71,119,"E2020"
"AX ARMANI EXCHANGE MILAN",26,44,68,79,119,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",16,37,57,76,84,120,"E2020"
"ALBA BERLIN",15,34,48,76,90,120,"E2020"
"ZALGIRIS KAUNAS",25,44,68,92,121,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",22,36,47,73,121,"E2020"
"PANATHINAIKOS OPAP ATHENS",15,29,48,68,79,93,122,"E2020"
"REAL MADRID",14,33,56,68,79,97,122,"E2020"
"ZENIT ST PETERSBURG",14,35,56,79,123,"E2020"
"FC BAYERN MUNICH",20,43,60,75,123,"E2020"
"OLYMPIACOS PIRAEUS",16,39,65,85,124,"E2020"
"VALENCIA BASKET",25,52,76,96,124,"E2020"
"LDLC ASVEL VILLEURBANNE",30,50,67,84,125,"E2020"
"MACCABI PLAYTIKA TEL AVIV",24,41,64,81,125,"E2020"
"FC BARCELONA",32,51,69,87,126,"E2020"
"KHIMKI MOSCOW REGION",25,41,53,74,126,"E2020"
"ANADOLU EFES ISTANBUL",20,31,52,69,127,"E2020"
"AX ARMANI EXCHANGE MILAN",20,46,52,72,127,"E2020"
"ZALGIRIS KAUNAS",24,51,81,99,128,"E2020"
"FENERBAHCE BEKO ISTANBUL",7,31,47,62,128,"E2020"
"PANATHINAIKOS OPAP ATHENS",25,39,66,92,129,"E2020"
"ALBA BERLIN",18,32,52,69,129,"E2020"
"CSKA MOSCOW",24,45,66,83,130,"E2020"
"ZENIT ST PETERSBURG",17,31,49,65,130,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",20,45,57,76,131,"E2020"
"VALENCIA BASKET",22,36,57,73,131,"E2020"
"OLYMPIACOS PIRAEUS",12,30,51,69,82,132,"E2020"
"REAL MADRID",12,31,49,69,86,132,"E2020"
"FC BAYERN MUNICH",18,38,58,77,133,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",15,30,50,66,133,"E2020"
"LDLC ASVEL VILLEURBANNE",20,43,72,90,134,"E2020"
"KHIMKI MOSCOW REGION",29,51,70,84,134,"E2020"
"FC BARCELONA",12,32,54,67,135,"E2020"
"MACCABI PLAYTIKA TEL AVIV",17,30,53,68,135,"E2020"
"ZENIT ST PETERSBURG",30,48,69,98,136,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",12,37,54,69,136,"E2020"
"ANADOLU EFES ISTANBUL",18,43,68,86,137,"E2020"
"FC BARCELONA",24,43,54,79,137,"E2020"
"MACCABI PLAYTIKA TEL AVIV",21,41,59,89,138,"E2020"
"PANATHINAIKOS OPAP ATHENS",12,30,52,81,138,"E2020"
"LDLC ASVEL VILLEURBANNE",15,41,60,78,139,"E2020"
"CSKA MOSCOW",21,46,66,87,139,"E2020"
"REAL MADRID",19,45,72,91,140,"E2020"
"ALBA BERLIN",18,30,44,62,140,"E2020"
"FENERBAHCE BEKO ISTANBUL",22,45,66,84,141,"E2020"
"OLYMPIACOS PIRAEUS",27,41,54,77,141,"E2020"
"ZALGIRIS KAUNAS",22,40,56,74,142,"E2020"
"FC BAYERN MUNICH",16,35,51,73,142,"E2020"
"AX ARMANI EXCHANGE MILAN",19,41,57,79,143,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",23,45,63,84,143,"E2020"
"VALENCIA BASKET",16,45,59,88,144,"E2020"
"KHIMKI MOSCOW REGION",13,29,52,82,144,"E2020"
"KHIMKI MOSCOW REGION",23,50,64,88,145,"E2020"
"OLYMPIACOS PIRAEUS",26,51,78,105,145,"E2020"
"ANADOLU EFES ISTANBUL",20,37,51,65,146,"E2020"
"REAL MADRID",13,31,52,73,146,"E2020"
"ALBA BERLIN",14,37,48,71,147,"E2020"
"ZALGIRIS KAUNAS",12,31,54,74,147,"E2020"
"MACCABI PLAYTIKA TEL AVIV",22,35,52,72,148,"E2020"
"ZENIT ST PETERSBURG",18,37,62,78,148,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",17,39,55,71,149,"E2020"
"VALENCIA BASKET",30,47,58,70,149,"E2020"
"FENERBAHCE BEKO ISTANBUL",15,38,59,81,150,"E2020"
"LDLC ASVEL VILLEURBANNE",19,32,42,59,150,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",22,48,57,74,151,"E2020"
"PANATHINAIKOS OPAP ATHENS",15,37,46,71,151,"E2020"
"FC BAYERN MUNICH",22,43,70,90,152,"E2020"
"FC BARCELONA",26,45,55,77,152,"E2020"
"AX ARMANI EXCHANGE MILAN",17,33,58,80,87,153,"E2020"
"CSKA MOSCOW",17,39,59,80,91,153,"E2020"
"ZALGIRIS KAUNAS",22,39,78,102,154,"E2020"
"KHIMKI MOSCOW REGION",20,48,61,75,154,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",22,39,53,71,155,"E2020"
"FENERBAHCE BEKO ISTANBUL",18,38,53,73,155,"E2020"
"ALBA BERLIN",17,28,49,73,156,"E2020"
"MACCABI PLAYTIKA TEL AVIV",24,43,63,85,156,"E2020"
"PANATHINAIKOS OPAP ATHENS",16,35,54,77,157,"E2020"
"ZENIT ST PETERSBURG",26,47,76,89,157,"E2020"
"FC BARCELONA",18,38,67,89,158,"E2020"
"VALENCIA BASKET",12,33,54,72,158,"E2020"
"OLYMPIACOS PIRAEUS",19,44,64,84,159,"E2020"
"FC BAYERN MUNICH",22,46,61,82,159,"E2020"
"LDLC ASVEL VILLEURBANNE",15,34,59,80,160,"E2020"
"ANADOLU EFES ISTANBUL",29,54,82,102,160,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",31,46,79,95,161,"E2020"
"CSKA MOSCOW",19,45,67,93,161,"E2020"
"REAL MADRID",18,39,49,76,162,"E2020"
"AX ARMANI EXCHANGE MILAN",17,39,61,80,162,"E2020"
"KHIMKI MOSCOW REGION",26,48,60,75,163,"E2020"
"FC BARCELONA",26,54,73,87,163,"E2020"
"ANADOLU EFES ISTANBUL",18,36,62,84,164,"E2020"
"ALBA BERLIN",18,44,53,76,164,"E2020"
"FENERBAHCE BEKO ISTANBUL",28,51,75,96,165,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",18,41,56,76,165,"E2020"
"MACCABI PLAYTIKA TEL AVIV",18,40,55,73,87,166,"E2020"
"OLYMPIACOS PIRAEUS",13,33,52,73,89,166,"E2020"
"AX ARMANI EXCHANGE MILAN",21,54,76,95,167,"E2020"
"VALENCIA BASKET",20,36,60,80,167,"E2020"
"CSKA MOSCOW",18,45,60,83,168,"E2020"
"ZALGIRIS KAUNAS",11,32,52,73,168,"E2020"
"PANATHINAIKOS OPAP ATHENS",25,45,70,88,169,"E2020"
"LDLC ASVEL VILLEURBANNE",21,42,60,71,169,"E2020"
"FC BAYERN MUNICH",13,32,56,82,170,"E2020"
"ZENIT ST PETERSBURG",19,40,56,80,170,"E2020"
"REAL MADRID",21,40,58,77,171,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",23,45,66,79,171,"E2020"
"ANADOLU EFES ISTANBUL",26,52,75,99,172,"E2020"
"KHIMKI MOSCOW REGION",19,36,46,60,172,"E2020"
"ALBA BERLIN",18,34,56,70,173,"E2020"
"AX ARMANI EXCHANGE MILAN",13,42,64,84,173,"E2020"
"MACCABI PLAYTIKA TEL AVIV",26,47,68,91,174,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",21,43,60,82,174,"E2020"
"CSKA MOSCOW",25,41,56,75,175,"E2020"
"FC BARCELONA",20,42,64,88,175,"E2020"
"ZENIT ST PETERSBURG",17,36,56,77,176,"E2020"
"ZALGIRIS KAUNAS",14,36,49,65,176,"E2020"
"FENERBAHCE BEKO ISTANBUL",31,48,74,100,177,"E2020"
"PANATHINAIKOS OPAP ATHENS",12,34,55,74,177,"E2020"
"OLYMPIACOS PIRAEUS",17,33,42,63,178,"E2020"
"LDLC ASVEL VILLEURBANNE",17,34,51,69,178,"E2020"
"FC BAYERN MUNICH",15,34,50,72,76,179,"E2020"
"REAL MADRID",23,39,51,72,81,179,"E2020"
"VALENCIA BASKET",27,49,68,91,180,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",15,42,57,71,180,"E2020"
"ZENIT ST PETERSBURG",28,53,64,85,181,"E2020"
"ANADOLU EFES ISTANBUL",15,31,55,78,181,"E2020"
"PANATHINAIKOS OPAP ATHENS",23,46,70,94,182,"E2020"
"KHIMKI MOSCOW REGION",20,33,51,78,182,"E2020"
"MACCABI PLAYTIKA TEL AVIV",24,45,63,86,183,"E2020"
"REAL MADRID",33,46,66,84,183,"E2020"
"AX ARMANI EXCHANGE MILAN",20,42,63,75,184,"E2020"
"FC BAYERN MUNICH",10,20,35,51,184,"E2020"
"LDLC ASVEL VILLEURBANNE",17,40,61,90,185,"E2020"
"VALENCIA BASKET",17,34,54,77,185,"E2020"
"CSKA MOSCOW",21,38,66,83,186,"E2020"
"FENERBAHCE BEKO ISTANBUL",15,38,63,89,186,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",11,31,45,60,187,"E2020"
"FC BARCELONA",21,35,57,72,187,"E2020"
"ZALGIRIS KAUNAS",26,45,63,81,188,"E2020"
"OLYMPIACOS PIRAEUS",20,44,60,79,188,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",18,50,61,77,189,"E2020"
"ALBA BERLIN",21,46,67,84,189,"E2020"
"KHIMKI MOSCOW REGION",15,44,75,93,190,"E2020"
"FC BAYERN MUNICH",26,44,73,95,190,"E2020"
"ANADOLU EFES ISTANBUL",29,56,75,86,191,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",13,35,52,72,191,"E2020"
"FENERBAHCE BEKO ISTANBUL",17,36,60,82,192,"E2020"
"MACCABI PLAYTIKA TEL AVIV",21,35,53,75,192,"E2020"
"AX ARMANI EXCHANGE MILAN",24,44,65,90,193,"E2020"
"OLYMPIACOS PIRAEUS",19,34,62,79,193,"E2020"
"FC BARCELONA",16,44,69,85,194,"E2020"
"ZENIT ST PETERSBURG",14,33,50,81,194,"E2020"
"ALBA BERLIN",15,37,56,68,195,"E2020"
"CSKA MOSCOW",20,34,52,71,195,"E2020"
"LDLC ASVEL VILLEURBANNE",17,35,58,83,196,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",26,46,53,77,196,"E2020"
"REAL MADRID",25,49,64,76,197,"E2020"
"PANATHINAIKOS OPAP ATHENS",12,27,50,66,197,"E2020"
"VALENCIA BASKET",20,38,55,78,198,"E2020"
"ZALGIRIS KAUNAS",20,47,60,79,198,"E2020"
"KHIMKI MOSCOW REGION",22,44,57,76,199,"E2020"
"FENERBAHCE BEKO ISTANBUL",23,53,83,107,199,"E2020"
"OLYMPIACOS PIRAEUS",12,30,53,74,200,"E2020"
"FC BARCELONA",21,40,50,76,200,"E2020"
"MACCABI PLAYTIKA TEL AVIV",17,31,47,66,201,"E2020"
"ANADOLU EFES ISTANBUL",22,47,71,90,201,"E2020"
"AX ARMANI EXCHANGE MILAN",16,35,56,82,202,"E2020"
"ZENIT ST PETERSBURG",24,44,59,76,202,"E2020"
"CSKA MOSCOW",27,39,60,66,203,"E2020"
"FC BAYERN MUNICH",25,40,50,69,203,"E2020"
"ALBA BERLIN",14,30,47,63,204,"E2020"
"REAL MADRID",22,40,59,72,204,"E2020"
"PANATHINAIKOS OPAP ATHENS",22,48,68,91,205,"E2020"
"VALENCIA BASKET",20,34,52,72,205,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",23,38,56,78,206,"E2020"
"LDLC ASVEL VILLEURBANNE",25,45,57,81,206,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",21,45,61,81,207,"E2020"
"ZALGIRIS KAUNAS",20,36,48,68,207,"E2020"
"ZALGIRIS KAUNAS",22,40,60,75,208,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",26,44,58,62,208,"E2020"
"MACCABI PLAYTIKA TEL AVIV",22,53,73,92,209,"E2020"
"KHIMKI MOSCOW REGION",12,25,38,62,209,"E2020"
"FC BARCELONA",22,50,65,86,210,"E2020"
"ANADOLU EFES ISTANBUL",27,53,72,88,210,"E2020"
"VALENCIA BASKET",25,47,64,84,95,105,211,"E2020"
"CSKA MOSCOW",17,43,63,84,95,103,211,"E2020"
"FENERBAHCE BEKO ISTANBUL",25,47,66,92,212,"E2020"
"ZENIT ST PETERSBURG",25,43,65,84,212,"E2020"
"OLYMPIACOS PIRAEUS",18,35,54,77,213,"E2020"
"PANATHINAIKOS OPAP ATHENS",21,38,61,88,213,"E2020"
"FC BAYERN MUNICH",10,33,58,87,101,214,"E2020"
"ALBA BERLIN",26,43,66,87,95,214,"E2020"
"LDLC ASVEL VILLEURBANNE",20,37,52,78,215,"E2020"
"AX ARMANI EXCHANGE MILAN",23,40,56,69,215,"E2020"
"REAL MADRID",15,34,52,64,216,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",28,37,60,84,216,"E2020"
"KHIMKI MOSCOW REGION",14,37,57,67,217,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",24,47,71,89,217,"E2020"
"ANADOLU EFES ISTANBUL",11,43,58,76,218,"E2020"
"OLYMPIACOS PIRAEUS",26,34,43,53,218,"E2020"
"AX ARMANI EXCHANGE MILAN",21,39,65,87,219,"E2020"
"MACCABI PLAYTIKA TEL AVIV",12,27,48,68,219,"E2020"
"FC BARCELONA",24,48,71,86,220,"E2020"
"ZALGIRIS KAUNAS",24,37,47,62,220,"E2020"
"CSKA MOSCOW",27,49,74,93,221,"E2020"
"PANATHINAIKOS OPAP ATHENS",19,39,61,86,221,"E2020"
"FENERBAHCE BEKO ISTANBUL",24,45,67,89,222,"E2020"
"ALBA BERLIN",22,42,60,84,222,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",16,36,56,75,223,"E2020"
"ZENIT ST PETERSBURG",22,48,61,76,223,"E2020"
"LDLC ASVEL VILLEURBANNE",21,44,66,87,224,"E2020"
"FC BAYERN MUNICH",18,35,52,79,224,"E2020"
"VALENCIA BASKET",29,55,71,89,225,"E2020"
"REAL MADRID",21,35,52,78,225,"E2020"
"ZENIT ST PETERSBURG",19,41,50,62,226,"E2020"
"VALENCIA BASKET",22,44,62,91,226,"E2020"
"OLYMPIACOS PIRAEUS",12,26,49,74,227,"E2020"
"CSKA MOSCOW",24,44,59,75,227,"E2020"
"FC BAYERN MUNICH",18,37,51,72,228,"E2020"
"MACCABI PLAYTIKA TEL AVIV",21,38,58,70,228,"E2020"
"AX ARMANI EXCHANGE MILAN",29,56,70,84,229,"E2020"
"KHIMKI MOSCOW REGION",26,43,56,74,229,"E2020"
"REAL MADRID",21,36,51,70,230,"E2020"
"ZALGIRIS KAUNAS",13,31,42,58,230,"E2020"
"FENERBAHCE BEKO ISTANBUL",11,39,58,74,231,"E2020"
"ANADOLU EFES ISTANBUL",24,53,81,106,231,"E2020"
"ALBA BERLIN",11,28,50,74,232,"E2020"
"PANATHINAIKOS OPAP ATHENS",17,34,53,65,232,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",21,48,66,87,233,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",16,27,48,67,233,"E2020"
"FC BARCELONA",15,35,54,69,234,"E2020"
"LDLC ASVEL VILLEURBANNE",19,34,54,76,234,"E2020"
"KHIMKI MOSCOW REGION",17,45,62,78,235,"E2020"
"REAL MADRID",18,38,62,77,235,"E2020"
"ZENIT ST PETERSBURG",23,43,68,87,236,"E2020"
"ALBA BERLIN",24,48,67,71,236,"E2020"
"ANADOLU EFES ISTANBUL",18,46,68,99,237,"E2020"
"VALENCIA BASKET",23,40,58,83,237,"E2020"
"PANATHINAIKOS OPAP ATHENS",17,39,50,77,238,"E2020"
"FC BARCELONA",26,47,59,85,238,"E2020"
"MACCABI PLAYTIKA TEL AVIV",23,33,52,80,239,"E2020"
"CSKA MOSCOW",23,51,68,84,239,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",10,35,57,76,240,"E2020"
"FC BAYERN MUNICH",15,31,50,78,240,"E2020"
"ZALGIRIS KAUNAS",17,40,67,85,241,"E2020"
"LDLC ASVEL VILLEURBANNE",20,42,57,75,241,"E2020"
"AX ARMANI EXCHANGE MILAN",28,52,69,92,242,"E2020"
"FENERBAHCE BEKO ISTANBUL",24,50,78,100,242,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",15,43,68,91,243,"E2020"
"OLYMPIACOS PIRAEUS",21,32,58,66,243,"E2020"
"ZENIT ST PETERSBURG",13,29,58,71,244,"E2020"
"REAL MADRID",24,38,52,75,244,"E2020"
"ANADOLU EFES ISTANBUL",31,55,75,100,245,"E2020"
"CSKA MOSCOW",13,28,45,70,245,"E2020"
"MACCABI PLAYTIKA TEL AVIV",14,33,62,84,246,"E2020"
"VALENCIA BASKET",18,35,56,72,246,"E2020"
"FC BAYERN MUNICH",14,37,57,76,247,"E2020"
"PANATHINAIKOS OPAP ATHENS",21,36,55,71,247,"E2020"
"KHIMKI MOSCOW REGION",25,47,67,81,248,"E2020"
"ALBA BERLIN",20,41,68,100,248,"E2020"
"ZALGIRIS KAUNAS",13,32,45,64,249,"E2020"
"AX ARMANI EXCHANGE MILAN",19,34,50,69,249,"E2020"
"OLYMPIACOS PIRAEUS",30,53,75,94,250,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",19,48,67,79,250,"E2020"
"LDLC ASVEL VILLEURBANNE",18,38,60,86,251,"E2020"
"FENERBAHCE BEKO ISTANBUL",20,40,59,90,251,"E2020"
"FC BARCELONA",25,33,50,71,252,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",4,26,45,57,252,"E2020"
"CSKA MOSCOW",10,34,55,76,253,"E2020"
"AX ARMANI EXCHANGE MILAN",30,47,70,84,253,"E2020"
"PANATHINAIKOS OPAP ATHENS",25,43,58,81,254,"E2020"
"MACCABI PLAYTIKA TEL AVIV",9,30,55,63,254,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",8,34,62,92,255,"E2020"
"KHIMKI MOSCOW REGION",15,38,60,81,255,"E2020"
"LDLC ASVEL VILLEURBANNE",30,52,73,89,256,"E2020"
"ALBA BERLIN",23,43,70,95,256,"E2020"
"REAL MADRID",19,38,54,76,257,"E2020"
"FC BARCELONA",24,41,57,81,257,"E2020"
"ANADOLU EFES ISTANBUL",26,49,76,89,258,"E2020"
"ZALGIRIS KAUNAS",12,28,48,62,258,"E2020"
"OLYMPIACOS PIRAEUS",15,30,54,75,259,"E2020"
"ZENIT ST PETERSBURG",28,41,56,61,259,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",17,33,60,78,260,"E2020"
"FC BAYERN MUNICH",15,33,45,71,260,"E2020"
"VALENCIA BASKET",18,37,45,66,261,"E2020"
"FENERBAHCE BEKO ISTANBUL",10,28,39,52,261,"E2020"
"ZENIT ST PETERSBURG",14,45,59,75,262,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",17,32,45,79,262,"E2020"
"FENERBAHCE BEKO ISTANBUL",28,45,66,84,263,"E2020"
"ZALGIRIS KAUNAS",18,26,46,61,263,"E2020"
"ALBA BERLIN",18,42,62,80,264,"E2020"
"OLYMPIACOS PIRAEUS",16,37,62,84,264,"E2020"
"MACCABI PLAYTIKA TEL AVIV",22,34,48,67,265,"E2020"
"LDLC ASVEL VILLEURBANNE",14,37,57,74,265,"E2020"
"KHIMKI MOSCOW REGION",17,38,49,68,266,"E2020"
"VALENCIA BASKET",27,44,58,77,266,"E2020"
"PANATHINAIKOS OPAP ATHENS",23,40,59,82,267,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",17,40,60,86,267,"E2020"
"FC BAYERN MUNICH",18,37,59,80,268,"E2020"
"ANADOLU EFES ISTANBUL",23,46,63,79,268,"E2020"
"AX ARMANI EXCHANGE MILAN",12,29,44,56,269,"E2020"
"FC BARCELONA",15,38,55,72,269,"E2020"
"REAL MADRID",21,41,67,89,270,"E2020"
"CSKA MOSCOW",23,55,74,96,270,"E2020"
"CSKA MOSCOW",31,50,71,87,271,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",19,39,59,72,271,"E2020"
"ANADOLU EFES ISTANBUL",24,43,60,85,272,"E2020"
"PANATHINAIKOS OPAP ATHENS",21,33,49,65,272,"E2020"
"LDLC ASVEL VILLEURBANNE",23,37,51,71,273,"E2020"
"REAL MADRID",20,32,56,74,273,"E2020"
"VALENCIA BASKET",26,46,58,83,274,"E2020"
"FC BAYERN MUNICH",19,33,63,76,274,"E2020"
"KHIMKI MOSCOW REGION",11,29,47,70,275,"E2020"
"ZENIT ST PETERSBURG",14,39,66,91,275,"E2020"
"ZALGIRIS KAUNAS",26,40,63,81,276,"E2020"
"MACCABI PLAYTIKA TEL AVIV",18,38,64,88,276,"E2020"
"OLYMPIACOS PIRAEUS",11,27,49,71,277,"E2020"
"FENERBAHCE BEKO ISTANBUL",20,43,58,76,277,"E2020"
"FC BARCELONA",22,45,62,80,278,"E2020"
"ALBA BERLIN",23,40,58,67,278,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",10,33,60,86,279,"E2020"
"AX ARMANI EXCHANGE MILAN",16,32,45,69,279,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",12,36,51,72,280,"E2020"
"AX ARMANI EXCHANGE MILAN",22,47,75,93,280,"E2020"
"ZENIT ST PETERSBURG",18,42,57,74,281,"E2020"
"CSKA MOSCOW",22,48,63,86,281,"E2020"
"PANATHINAIKOS OPAP ATHENS",21,41,59,82,282,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",25,49,72,97,282,"E2020"
"MACCABI PLAYTIKA TEL AVIV",19,39,65,80,99,283,"E2020"
"FC BARCELONA",14,38,59,80,94,283,"E2020"
"REAL MADRID",20,42,64,83,284,"E2020"
"ANADOLU EFES ISTANBUL",20,41,76,108,284,"E2020"
"KHIMKI MOSCOW REGION",20,42,62,75,87,285,"E2020"
"LDLC ASVEL VILLEURBANNE",22,31,50,75,85,285,"E2020"
"ZALGIRIS KAUNAS",21,41,68,96,286,"E2020"
"ALBA BERLIN",23,51,61,86,286,"E2020"
"FC BAYERN MUNICH",15,34,44,68,287,"E2020"
"FENERBAHCE BEKO ISTANBUL",18,35,53,77,287,"E2020"
"VALENCIA BASKET",19,31,41,79,288,"E2020"
"OLYMPIACOS PIRAEUS",23,44,74,88,288,"E2020"
"PANATHINAIKOS OPAP ATHENS",15,29,49,70,86,289,"E2020"
"AX ARMANI EXCHANGE MILAN",26,46,59,70,83,289,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",15,33,53,76,290,"E2020"
"MACCABI PLAYTIKA TEL AVIV",21,34,45,64,290,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",19,41,63,92,101,291,"E2020"
"ANADOLU EFES ISTANBUL",22,46,65,92,111,291,"E2020"
"CSKA MOSCOW",21,47,76,97,292,"E2020"
"KHIMKI MOSCOW REGION",17,34,47,72,292,"E2020"
"ZENIT ST PETERSBURG",20,41,66,87,293,"E2020"
"LDLC ASVEL VILLEURBANNE",15,37,43,53,293,"E2020"
"FENERBAHCE BEKO ISTANBUL",25,42,58,73,294,"E2020"
"FC BARCELONA",26,47,62,82,294,"E2020"
"ALBA BERLIN",26,53,70,86,295,"E2020"
"VALENCIA BASKET",13,42,64,90,295,"E2020"
"FC BAYERN MUNICH",21,37,57,71,296,"E2020"
"ZALGIRIS KAUNAS",22,36,54,70,296,"E2020"
"REAL MADRID",20,36,53,72,297,"E2020"
"OLYMPIACOS PIRAEUS",11,26,38,63,297,"E2020"
"CSKA MOSCOW",18,42,58,88,298,"E2020"
"LDLC ASVEL VILLEURBANNE",15,36,60,70,298,"E2020"
"ZALGIRIS KAUNAS",27,52,74,93,299,"E2020"
"PANATHINAIKOS OPAP ATHENS",14,47,60,78,299,"E2020"
"FENERBAHCE BEKO ISTANBUL",11,36,57,67,300,"E2020"
"REAL MADRID",23,49,67,93,300,"E2020"
"ALBA BERLIN",24,49,66,81,301,"E2020"
"CRVENA ZVEZDA MTS BELGRADE",22,30,46,58,301,"E2020"
"VALENCIA BASKET",25,39,60,86,302,"E2020"
"TD SYSTEMS BASKONIA VITORIA-GASTEIZ",21,44,59,81,302,"E2020"
"ZENIT ST PETERSBURG",25,44,66,86,303,"E2020"
"MACCABI PLAYTIKA TEL AVIV",15,37,48,69,303,"E2020"
"OLYMPIACOS PIRAEUS",24,42,63,82,304,"E2020"
"KHIMKI MOSCOW REGION",18,41,55,75,304,"E2020"
"AX ARMANI EXCHANGE MILAN",29,49,78,98,305,"E2020"
"ANADOLU EFES ISTANBUL",19,39,56,75,305,"E2020"
"FC BARCELONA",22,37,55,72,306,"E2020"
"FC BAYERN MUNICH",29,43,60,82,306,"E2020"
"FC BARCELONA",21,34,54,74,307,"E2020"
