"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"VIRTUS SEGAFREDO BOLOGNA",21,45,65,86,68,"E2023"
"EA7 EMPORIO ARMANI MILAN",26,40,63,79,68,"E2023"
"ALBA BERLIN",13,35,55,68,69,"E2023"
"LDLC ASVEL VILLEURBANNE",28,43,53,73,69,"E2023"
"FC BAYERN MUNICH",25,53,70,94,70,"E2023"
"PARTIZAN MOZZART BET BELGRADE",32,51,63,85,70,"E2023"
"PANATHINAIKOS ATHENS",13,36,53,73,71,"E2023"
"ZALGIRIS KAUNAS",15,39,52,71,71,"E2023"
"BASKONIA VITORIA-GASTEIZ",26,55,70,94,72,"E2023"
"FC BARCELONA",18,29,53,71,72,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,43,63,92,73,"E2023"
"ANADOLU EFES ISTANBUL",18,39,61,76,73,"E2023"
"MACCABI PLAYTIKA TEL AVIV",21,38,56,78,74,"E2023"
"FENERBAHCE BEKO ISTANBUL",28,46,57,73,74,"E2023"
"OLYMPIACOS PIRAEUS",20,45,64,88,75,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,44,53,83,75,"E2023"
"REAL MADRID",30,53,80,91,76,"E2023"
"AS MONACO",20,39,50,73,76,"E2023"
"FC BARCELONA",25,37,54,74,77,"E2023"
"VALENCIA BASKET",16,33,52,70,77,"E2023"
"LDLC ASVEL VILLEURBANNE",30,49,65,81,78,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,42,73,88,78,"E2023"
"PANATHINAIKOS ATHENS",21,45,62,90,79,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",15,42,63,76,79,"E2023"
"PARTIZAN MOZZART BET BELGRADE",18,43,65,89,80,"E2023"
"ALBA BERLIN",20,40,55,74,80,"E2023"
"ZALGIRIS KAUNAS",25,41,62,74,81,"E2023"
"FC BAYERN MUNICH",18,43,61,73,81,"E2023"
"LDLC ASVEL VILLEURBANNE",18,40,60,74,88,100,82,"E2023"
"FC BAYERN MUNICH",22,37,51,74,88,101,82,"E2023"
"MACCABI PLAYTIKA TEL AVIV",31,51,68,90,83,"E2023"
"FC BARCELONA",26,51,70,92,83,"E2023"
"PANATHINAIKOS AKTOR ATHENS",27,49,72,90,84,"E2023"
"VALENCIA BASKET",18,35,53,73,84,"E2023"
"REAL MADRID",27,44,67,99,85,"E2023"
"ALBA BERLIN",17,33,51,75,85,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",25,46,70,87,86,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,44,58,79,86,"E2023"
"ANADOLU EFES ISTANBUL",22,50,64,100,87,"E2023"
"PARTIZAN MOZZART BET BELGRADE",22,45,74,94,87,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",19,39,56,71,88,"E2023"
"EA7 EMPORIO ARMANI MILAN",20,38,63,93,88,"E2023"
"OLYMPIACOS PIRAEUS",19,43,69,89,89,"E2023"
"ZALGIRIS KAUNAS",19,31,52,72,89,"E2023"
"BASKONIA VITORIA-GASTEIZ",19,36,59,75,90,"E2023"
"AS MONACO",16,35,62,77,90,"E2023"
"AS MONACO",22,38,58,85,91,"E2023"
"OLYMPIACOS PIRAEUS",17,39,59,77,91,"E2023"
"FC BAYERN MUNICH",20,44,70,90,92,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",28,46,66,76,92,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,37,59,87,100,93,"E2023"
"REAL MADRID",29,44,67,87,99,93,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,58,81,102,94,"E2023"
"ALBA BERLIN",14,42,66,81,94,"E2023"
"PARTIZAN MOZZART BET BELGRADE",20,39,54,78,92,95,"E2023"
"PANATHINAIKOS AKTOR ATHENS",21,38,56,78,87,95,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,31,52,70,96,"E2023"
"ZALGIRIS KAUNAS",18,41,59,83,96,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",22,43,72,97,97,"E2023"
"ANADOLU EFES ISTANBUL",21,49,70,83,97,"E2023"
"FC BARCELONA",28,50,78,101,98,"E2023"
"LDLC ASVEL VILLEURBANNE",24,47,71,92,98,"E2023"
"VALENCIA BASKET",21,52,70,84,99,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,44,67,98,99,"E2023"
"ALBA BERLIN",13,25,39,64,100,"E2023"
"ZALGIRIS KAUNAS",20,28,45,62,100,"E2023"
"ANADOLU EFES ISTANBUL",23,37,50,71,101,"E2023"
"PANATHINAIKOS AKTOR ATHENS",15,31,52,68,101,"E2023"
"FC BAYERN MUNICH",22,44,55,76,91,102,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,39,52,76,84,102,"E2023"
"OLYMPIACOS PIRAEUS",19,36,57,71,103,"E2023"
"REAL MADRID",23,37,61,77,103,"E2023"
"PARTIZAN MOZZART BET BELGRADE",16,32,51,72,89,104,"E2023"
"AS MONACO",13,35,51,72,85,104,"E2023"
"LDLC ASVEL VILLEURBANNE",19,46,66,91,105,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,45,70,94,105,"E2023"
"BASKONIA VITORIA-GASTEIZ",10,38,57,80,106,"E2023"
"FENERBAHCE BEKO ISTANBUL",18,37,55,79,106,"E2023"
"VALENCIA BASKET",25,56,72,85,107,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",19,40,65,81,107,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",18,33,56,80,108,"E2023"
"FC BARCELONA",24,45,61,75,108,"E2023"
"ALBA BERLIN",15,40,65,89,109,"E2023"
"ANADOLU EFES ISTANBUL",22,37,64,97,109,"E2023"
"PANATHINAIKOS AKTOR ATHENS",23,45,55,78,110,"E2023"
"REAL MADRID",24,46,72,90,110,"E2023"
"PARTIZAN MOZZART BET BELGRADE",20,39,61,82,111,"E2023"
"EA7 EMPORIO ARMANI MILAN",25,44,62,69,111,"E2023"
"OLYMPIACOS PIRAEUS",24,41,54,77,112,"E2023"
"FC BAYERN MUNICH",8,29,44,69,112,"E2023"
"FC BARCELONA",16,38,63,89,113,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,50,64,81,113,"E2023"
"LDLC ASVEL VILLEURBANNE",23,33,41,55,114,"E2023"
"VALENCIA BASKET",18,35,53,78,114,"E2023"
"BASKONIA VITORIA-GASTEIZ",26,52,67,87,115,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,43,62,85,115,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",28,49,78,100,116,"E2023"
"MACCABI PLAYTIKA TEL AVIV",29,49,72,90,116,"E2023"
"ZALGIRIS KAUNAS",19,37,59,79,117,"E2023"
"AS MONACO",23,46,57,83,117,"E2023"
"LDLC ASVEL VILLEURBANNE",21,36,60,81,118,"E2023"
