Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
ASV,12000,68,15,34,10,32,8,12,15,21,36,14,10,14,7,5,22,16,65,43,E2020,LDLC ASVEL VILLEURBANNE
MUN,12000,74,22,43,4,12,18,21,10,23,33,15,8,15,0,3,26,20,74,44,E2020,FC BAYERN MUNICH
OLY,12000,68,14,24,6,28,22,27,9,19,28,13,6,15,3,0,20,26,72,44,E2020,OLYMPIACOS PIRAEUS
BAR,12000,79,23,37,5,20,18,23,8,28,36,16,5,13,4,2,24,23,90,45,E2020,FC BARCELONA
MAD,12000,72,21,44,6,21,12,14,11,18,29,14,5,10,2,4,24,23,67,45,E2020,REAL MADRID
CSK,12000,84,18,36,12,32,12,19,14,22,36,17,6,7,2,2,18,20,93,46,E2020,CSKA MOSCOW
PAM,12000,75,20,31,8,30,11,14,10,25,35,21,2,13,2,2,20,18,82,46,E2020,VALENCIA BASKET
DYR,12000,112,22,34,15,29,23,27,11,20,31,23,9,8,2,2,20,22,139,47,E2020,ZENIT ST PETERSBURG
PAN,12000,83,23,42,8,21,13,17,14,15,29,11,5,14,2,2,22,19,75,47,E2020,PANATHINAIKOS OPAP ATHENS
TEL,12000,65,20,45,5,26,10,15,21,23,44,9,6,12,0,4,19,18,56,48,E2020,MACCABI PLAYTIKA TEL AVIV
ULK,12000,75,15,33,11,22,12,13,6,24,30,15,5,12,4,0,18,19,88,48,E2020,FENERBAHCE BEKO ISTANBUL
ASV,12000,74,17,33,9,24,13,20,12,19,31,18,4,16,3,0,24,26,78,49,E2020,LDLC ASVEL VILLEURBANNE
ZAL,12000,83,22,43,7,16,18,18,10,19,29,17,5,14,0,3,26,24,85,49,E2020,ZALGIRIS KAUNAS
MAD,12000,100,24,31,11,30,19,26,5,19,24,23,5,4,2,3,19,24,119,50,E2020,REAL MADRID
MUN,12000,82,21,46,8,20,16,21,16,25,41,14,2,10,3,2,24,18,82,50,E2020,FC BAYERN MUNICH
KHI,12000,83,13,26,12,32,21,24,7,27,34,18,4,12,7,2,23,22,95,51,E2020,KHIMKI MOSCOW REGION
RED,12000,77,17,37,9,22,16,19,8,26,34,16,8,15,2,7,22,23,80,51,E2020,CRVENA ZVEZDA MTS BELGRADE
OLY,12000,79,18,32,9,17,16,22,5,18,23,19,8,13,7,4,24,18,85,52,E2020,OLYMPIACOS PIRAEUS
IST,12000,84,19,34,10,21,16,25,12,19,31,15,8,13,4,7,18,24,93,52,E2020,ANADOLU EFES ISTANBUL
MIL,12000,75,15,30,9,22,18,23,3,29,32,18,9,12,5,0,16,23,101,53,E2020,AX ARMANI EXCHANGE MILAN
BER,12000,55,15,39,5,24,10,13,14,27,41,12,8,19,0,5,23,16,39,53,E2020,ALBA BERLIN
BAS,12000,71,21,37,5,18,14,21,12,22,34,21,8,22,2,3,17,22,80,54,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
BAR,12000,72,21,42,6,18,12,15,13,18,31,18,10,19,3,2,22,17,72,54,E2020,FC BARCELONA
DYR,12000,66,10,25,13,32,7,10,10,21,31,17,10,16,1,2,21,19,68,55,E2020,ZENIT ST PETERSBURG
OLY,12000,75,20,36,7,17,14,17,8,24,32,15,7,16,2,1,19,21,87,55,E2020,OLYMPIACOS PIRAEUS
IST,12000,91,23,38,12,29,9,10,7,23,30,24,8,13,2,4,16,14,103,56,E2020,ANADOLU EFES ISTANBUL
TEL,12000,89,18,32,15,32,8,9,8,26,34,22,6,17,4,2,14,16,106,56,E2020,MACCABI PLAYTIKA TEL AVIV
BER,12000,67,23,50,6,24,3,3,11,11,22,19,8,8,3,3,14,16,65,57,E2020,ALBA BERLIN
BAR,12000,103,28,38,12,23,11,12,11,32,43,31,4,17,3,3,16,14,140,57,E2020,FC BARCELONA
BAS,12000,86,27,50,5,15,17,23,6,24,30,19,7,8,3,3,19,25,101,58,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
ASV,12000,88,27,40,5,18,19,23,5,28,33,21,5,14,3,3,25,19,97,58,E2020,LDLC ASVEL VILLEURBANNE
ULK,12000,83,25,44,9,23,6,9,4,29,33,21,11,12,2,4,19,17,96,59,E2020,FENERBAHCE BEKO ISTANBUL
KHI,12000,71,16,32,8,30,15,21,13,28,41,22,6,19,4,2,17,19,81,59,E2020,KHIMKI MOSCOW REGION
ZAL,12000,90,20,39,10,20,20,21,6,19,25,23,6,9,1,2,24,20,100,60,E2020,ZALGIRIS KAUNAS
MAD,12000,93,23,33,10,27,17,20,9,22,31,23,5,12,2,1,21,24,114,60,E2020,REAL MADRID
MUN,12000,74,14,26,11,31,13,17,10,27,37,18,7,11,4,2,25,21,87,61,E2020,FC BAYERN MUNICH
RED,12000,59,13,33,6,21,15,18,9,22,31,8,5,13,2,4,22,25,53,61,E2020,CRVENA ZVEZDA MTS BELGRADE
PAN,12000,83,20,43,11,21,10,12,9,25,34,16,3,10,2,3,25,19,84,62,E2020,PANATHINAIKOS OPAP ATHENS
CSK,12000,89,16,32,12,30,21,28,13,25,38,19,5,7,3,2,19,24,109,62,E2020,CSKA MOSCOW
PAM,12000,86,18,35,11,27,17,19,8,22,30,19,8,8,3,2,20,21,102,63,E2020,VALENCIA BASKET
MIL,12000,81,27,43,6,20,9,13,8,26,34,14,4,13,2,3,21,20,84,63,E2020,AX ARMANI EXCHANGE MILAN
CSK,12000,89,20,30,12,24,13,24,5,15,20,13,7,14,0,1,24,26,83,64,E2020,CSKA MOSCOW
BAS,12000,86,20,37,9,20,19,22,13,24,37,15,6,23,1,0,26,24,89,64,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
OLY,12000,75,18,34,8,24,15,19,10,23,33,21,10,18,3,4,23,18,79,65,E2020,OLYMPIACOS PIRAEUS
BER,12000,71,21,34,7,23,8,13,7,23,30,20,8,19,4,3,18,23,82,65,E2020,ALBA BERLIN
TEL,12000,85,22,34,11,21,8,15,3,32,35,18,4,9,2,2,23,18,99,66,E2020,MACCABI PLAYTIKA TEL AVIV
ZAL,12000,57,21,46,1,14,12,17,9,23,32,11,2,8,2,2,18,23,56,66,E2020,ZALGIRIS KAUNAS
BAR,12000,97,20,35,16,30,9,12,12,22,34,27,12,14,2,1,16,16,125,67,E2020,FC BARCELONA
ULK,12000,55,18,32,4,18,7,8,7,17,24,17,5,25,1,2,16,16,46,67,E2020,FENERBAHCE BEKO ISTANBUL
KHI,12000,93,20,35,13,25,14,15,7,21,28,22,6,16,3,3,20,16,101,68,E2020,KHIMKI MOSCOW REGION
MIL,12000,102,27,46,13,19,9,11,4,20,24,28,11,8,3,3,17,20,133,68,E2020,AX ARMANI EXCHANGE MILAN
RED,12000,67,21,39,5,21,10,12,11,21,32,11,10,15,0,3,20,17,63,69,E2020,CRVENA ZVEZDA MTS BELGRADE
MAD,12000,73,11,18,14,39,9,12,11,22,33,17,8,20,3,0,17,19,81,69,E2020,REAL MADRID
PAN,12000,77,21,39,7,23,14,21,12,25,37,18,2,9,2,4,22,20,80,70,E2020,PANATHINAIKOS OPAP ATHENS
IST,12000,80,22,37,8,22,12,17,5,24,29,16,3,6,4,2,20,22,92,70,E2020,ANADOLU EFES ISTANBUL
MUN,12000,90,22,44,10,19,16,18,13,21,34,17,9,17,4,1,29,20,94,71,E2020,FC BAYERN MUNICH
PAM,12000,79,18,29,6,24,25,28,9,20,29,19,7,18,1,4,21,28,88,71,E2020,VALENCIA BASKET
ASV,12000,53,16,39,5,17,6,11,13,21,34,11,4,19,1,2,22,19,39,72,E2020,LDLC ASVEL VILLEURBANNE
DYR,12000,66,19,28,4,20,16,24,9,25,34,13,12,16,2,1,19,22,80,72,E2020,ZENIT ST PETERSBURG
DYR,12000,83,18,31,10,28,17,22,11,27,38,21,7,13,2,5,21,21,97,73,E2020,ZENIT ST PETERSBURG
